timestamp_s,fixed_diff,cmda_diff_mean,low_diff_mean,predicted_diff,ewma_pred_interval,block_time_s,tips_count,dag_nodes,blocks_mined,total_energy_J
1.028422,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
2.159075,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
3.246728,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
4.317238,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
5.337391,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
6.658607,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
7.812097,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
8.998206,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
10.30461,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
11.759239,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
12.894925,1048576,1048576,943718,1048576,6.0,5.469462,1,1,1,0.00083387
13.966762,1048576,1048576,943718,1048576,6.0,7.719606,2,2,2,0.00288317
15.020501,1048576,1048576,943718,1048576,6.0,7.719606,2,2,2,0.00288317
16.055378,1048576,1048576,943718,1048576,6.0,7.719606,2,2,2,0.00288317
17.244808,1048576,1048576,943718,1048576,6.0,7.719606,2,2,2,0.00288317
18.483046,1048576,1048576,943718,1048576,6.0,4.183455,3,3,3,0.005571365
19.546035,1048576,1048576,943718,1048576,6.0,4.183455,3,3,3,0.005571365
20.580493,1048576,1048576,943718,1048576,6.0,4.183455,3,3,3,0.005571365
21.660786,1048576,1048576,943718,1048576,6.0,4.183455,3,3,3,0.005571365
22.680994,1048576,1048576,943718,1048576,6.0,4.183455,3,3,3,0.005571365
23.767525,1048576,1048576,943718,1048576,6.0,5.692325,4,4,4,0.009247185
24.869231,1048576,1048576,943718,1048576,6.0,5.692325,4,4,4,0.009247185
26.006555,1048576,1048576,943718,1048576,6.0,5.692325,4,4,4,0.009247185
