timestamp_s,fixed_diff,cmda_diff_mean,low_diff_mean,predicted_diff,ewma_pred_interval,block_time_s,tips_count,dag_nodes,blocks_mined,total_energy_J
1.053298,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
2.083193,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
3.187035,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
4.391307,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
5.428166,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
6.481775,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
7.736233,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
8.785821,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
9.86033,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
11.014358,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
12.085907,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
13.206404,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
14.324417,1048576,1048576,943718,1048576,6.0,6.661833,1,1,1,0.001252945
15.513249,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
16.735371,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
17.955885,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
19.01097,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
20.279804,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
21.383765,1048576,1048576,943718,1048576,6.0,8.294244,2,2,2,0.003821015
22.504349,1048576,1048576,943718,1048576,6.0,6.687736,3,3,3,0.007468085
23.608128,1048576,1048576,943718,1048576,6.0,6.687736,3,3,3,0.007468085
24.796662,1048576,1033194,929874,983694,5.854508,2.693372,1,4,4,0.00797196
25.849247,1048576,1361752,1225577,1553978,6.409508,0.938279,2,5,5,0.01071388
