timestamp_s,fixed_diff,cmda_diff_mean,low_diff_mean,predicted_diff,ewma_pred_interval,block_time_s,tips_count,dag_nodes,blocks_mined,total_energy_J
1.080195,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
2.275093,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
3.59638,1048576,1048576,943718,1048576,6.0,0.0,1,0,0,0.0
4.651586,1048576,1048576,943718,1048576,6.0,3.642653,1,1,1,0.00092278
5.71696,1048576,1048576,943718,1048576,6.0,3.642653,1,1,1,0.00092278
6.787035,1048576,1048576,943718,1048576,6.0,3.642653,1,1,1,0.00092278
7.929351,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
8.946929,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
10.046466,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
11.088541,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
12.142094,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
13.195818,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
14.418249,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
15.687787,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
17.09572,1048576,1048576,943718,1048576,6.0,4.251217,2,2,2,0.002402785
18.17901,1048576,1048576,943718,1048576,6.0,9.722599,3,3,3,0.006723835
19.308656,1048576,1048576,943718,1048576,6.0,9.722599,3,3,3,0.006723835
20.487449,1048576,1048576,943718,1048576,6.0,9.722599,3,3,3,0.006723835
